sido,sigungu,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,전월세구분,a1,a2,a3
서울특별시,노원구,201458,2727.4,32467,104519,7533,0,53166,1789,202341,5.6,0.06,0.02,0,0.01,0.09,월세,51.24045583,6992.37242,64.12370078
서울특별시,은평구,184890,2245.5,32949,86806,8367,0,52777,2460,190395,5.2,0.06,0.06,0,0.02,0.14,월세,49.05390212,12614.64182,60.42507021
서울특별시,서대문구,128635,1425.2,20753,53207,5155,0,46431,1994,132924,5.9,0.07,0.05,0.01,0.02,0.14,월세,56.09823739,16168.49525,91.71845319
서울특별시,마포구,156885,1696.3,25218,61960,5405,0,59213,3943,160522,4.9,0.05,0.05,0.01,0.02,0.12,월세,61.05751006,19330.08896,115.7847791
서울특별시,양천구,162867,2337.2,26916,90231,6700,0,36166,1329,165829,4.8,0.05,0.05,0.01,0.01,0.11,월세,66.80070295,23668.43783,83.9261858
서울특별시,강서구,240135,2791.2,39793,106657,8493,0,79279,3932,243743,6.3,0.07,0.03,0,0.03,0.13,월세,51.77166297,13008.49444,61.87605526
서울특별시,구로구,160378,1949.5,29763,73049,6352,0,47702,2179,163880,6.6,0.07,0.02,0.01,0.02,0.12,월세,55.65139897,13006.27784,56.21267574
서울특별시,금천구,99315,999.5,15969,39995,3372,0,37768,1399,103280,10.7,0.12,0.03,0,0.03,0.17,월세,51.42463695,10369.36673,67.99724265
서울특별시,영등포구,153923,1673.3,26469,59963,5156,0,58199,2798,162232,6.9,0.07,0.03,0.01,0.04,0.15,월세,58.68451748,21970.09555,84.94108207
서울특별시,동작구,164963,1787.1,27111,68335,6061,0,60077,2115,167552,10.2,0.12,0.06,0.01,0.03,0.21,월세,60.800038,21506.45136,93.3149828
서울특별시,관악구,242154,1974.9,34145,73737,6109,0,119855,6811,248739,16.8,0.19,0.07,0.01,0.06,0.32,월세,49.79942357,12231.78851,71.87262028
서울특별시,서초구,155377,2136.2,26415,75769,6656,0,42624,2521,155805,3.2,0.03,0.03,0,0.02,0.08,월세,79.90187441,43052.20367,191.2819096
서울특별시,강남구,206524,2539,32476,93245,6991,0,65974,6240,208553,4.2,0.04,0.03,0,0.02,0.1,월세,70.55609059,36109.67346,167.4052773
서울특별시,송파구,252212,3301.1,43711,123710,9770,0,68725,4258,255530,4.1,0.04,0.04,0.01,0.02,0.1,월세,68.06430205,27629.26659,116.8479518
서울특별시,강동구,162976,2095.6,28024,79701,6841,0,45136,1904,176992,5.3,0.06,0.05,0,0.01,0.12,월세,55.85564037,17302.67614,81.32368421
부산광역시,중구,19847,166,3403,6259,533,0,8982,512,20494,9.5,0.09,0.01,0,0.04,0.14,월세,42.06005196,2671.568627,45.17647059
