sido,sigungu,x1,x2,x3,x4,x5,x6,x7,x8,y1,y2,y3,y4,y5,y6,y7,전월세구분,a1,a2,a3
서울특별시,강북구,128012.0,1419.9,21187.0,56574.0,5236.0,0.0,42768.0,1151.0,129679,8.3,0.09,0.09,0.01,0.02,0.19,월세,49.34682855072464,8404.982608695653,71.99420289855072
서울특별시,도봉구,126831.0,1651.0,23328.0,63084.0,5555.0,0.0,32635.0,1033.0,127216,3.6,0.04,0.05,0.0,0.01,0.1,월세,55.87096342747726,7309.170895165151,66.51172809956917
서울특별시,노원구,201458.0,2727.4,32467.0,104519.0,7533.0,0.0,53166.0,1789.0,202341,5.6,0.06,0.02,0.0,0.01,0.09,월세,51.24045583369931,6992.372419850681,64.1237007758747
서울특별시,은평구,184890.0,2245.5,32949.0,86806.0,8367.0,0.0,52777.0,2460.0,190395,5.2,0.06,0.06,0.0,0.02,0.14,월세,49.053902118968594,12614.64181771764,60.42507020679091
서울특별시,서대문구,128635.0,1425.2,20753.0,53207.0,5155.0,0.0,46431.0,1994.0,132924,5.9,0.07,0.05,0.01,0.02,0.14,월세,56.09823738983051,16168.495254237288,91.71845318860244
서울특별시,마포구,156885.0,1696.3,25218.0,61960.0,5405.0,0.0,59213.0,3943.0,160522,4.9,0.05,0.05,0.01,0.02,0.12,월세,61.057510061349696,19330.088957055214,115.7847790507365
서울특별시,양천구,162867.0,2337.2,26916.0,90231.0,6700.0,0.0,36166.0,1329.0,165829,4.8,0.05,0.05,0.01,0.01,0.11,월세,66.80070294695481,23668.43783328656,83.92618579848443
서울특별시,강서구,240135.0,2791.2,39793.0,106657.0,8493.0,0.0,79279.0,3932.0,243743,6.3,0.07,0.03,0.0,0.03,0.13,월세,51.77166297006907,13008.494435917117,61.87605525709901
서울특별시,구로구,160378.0,1949.5,29763.0,73049.0,6352.0,0.0,47702.0,2179.0,163880,6.6,0.07,0.02,0.01,0.02,0.12,월세,55.65139897344343,13006.277839767909,56.21267574202187
서울특별시,금천구,99315.0,999.5,15969.0,39995.0,3372.0,0.0,37768.0,1399.0,103280,10.7,0.12,0.03,0.0,0.03,0.17,월세,51.42463694852941,10369.366727941177,67.99724264705883
서울특별시,영등포구,153923.0,1673.3,26469.0,59963.0,5156.0,0.0,58199.0,2798.0,162232,6.9,0.07,0.03,0.01,0.04,0.15,월세,58.68451748395968,21970.09555453712,84.94108207244383
서울특별시,동작구,164963.0,1787.1,27111.0,68335.0,6061.0,0.0,60077.0,2115.0,167552,10.2,0.12,0.06,0.01,0.03,0.21,월세,60.80003800437911,21506.45136065061,93.3149827963716
서울특별시,관악구,242154.0,1974.9,34145.0,73737.0,6109.0,0.0,119855.0,6811.0,248739,16.8,0.19,0.07,0.01,0.06,0.32,월세,49.7994235721703,12231.788508134305,71.87262028383523
서울특별시,서초구,155377.0,2136.2,26415.0,75769.0,6656.0,0.0,42624.0,2521.0,155805,3.2,0.03,0.03,0.0,0.02,0.08,월세,79.90187441360439,43052.2036747459,191.28190964687315
서울특별시,강남구,206524.0,2539.0,32476.0,93245.0,6991.0,0.0,65974.0,6240.0,208553,4.2,0.04,0.03,0.0,0.02,0.1,월세,70.55609058823529,36109.67345993516,167.40527733903187
서울특별시,송파구,252212.0,3301.1,43711.0,123710.0,9770.0,0.0,68725.0,4258.0,255530,4.1,0.04,0.04,0.01,0.02,0.1,월세,68.06430204794603,27629.26659438622,116.84795180722892
서울특별시,강동구,162976.0,2095.6,28024.0,79701.0,6841.0,0.0,45136.0,1904.0,176992,5.3,0.06,0.05,0.0,0.01,0.12,월세,55.85564036842105,17302.67614035088,81.32368421052631
부산광역시,중구,19847.0,166.0,3403.0,6259.0,533.0,0.0,8982.0,512.0,20494,9.5,0.09,0.01,0.0,0.04,0.14,월세,42.06005196078432,2671.5686274509803,45.1764705882353
부산광역시,서구,46608.0,471.5,8781.0,17363.0,1895.0,0.0,17685.0,517.0,47198,9.1,0.09,0.01,0.0,0.01,0.11,월세,64.15790641509435,5093.198113207547,64.46981132075472
부산광역시,영도구,49823.0,535.0,10039.0,19874.0,1917.0,0.0,17189.0,371.0,50786,7.4,0.08,0.0,0.0,0.01,0.09,월세,63.56509192751236,3021.1186161449755,52.084019769357496
부산광역시,부산진구,152433.0,1577.2,27893.0,61655.0,5532.0,0.0,53940.0,2281.0,156890,6.4,0.06,0.0,0.0,0.01,0.08,월세,51.15278451628016,3422.886624502225,52.83813539470602
부산광역시,동래구,103176.0,1319.6,20602.0,50065.0,4236.0,0.0,26743.0,605.0,105881,3.6,0.04,0.0,0.0,0.01,0.05,월세,65.44778221153847,6066.563034188034,64.96260683760684
부산광역시,남구,111594.0,1273.8,21736.0,49569.0,4506.0,0.0,33699.0,1247.0,110510,4.7,0.05,0.0,0.0,0.01,0.06,월세,67.98927367447595,5261.034525277435,80.04993834771886
부산광역시,북구,112242.0,1444.5,21508.0,55621.0,4140.0,0.0,29558.0,474.0,113022,3.1,0.03,0.01,0.0,0.01,0.04,월세,62.85350833333333,4625.356965174129,50.88059701492537
부산광역시,해운대구,156230.0,1932.7,30416.0,75239.0,5992.0,0.0,41982.0,1250.0,158408,2.0,0.02,0.0,0.0,0.01,0.03,월세,77.17539321006366,5652.666262503789,99.79812064261895
부산광역시,사하구,128548.0,1539.3,24972.0,59152.0,4705.0,0.0,37680.0,862.0,128228,4.5,0.05,0.0,0.0,0.01,0.06,월세,61.15136633966892,3095.9509503372165,47.2391171060699
부산광역시,금정구,101294.0,1138.5,19517.0,41802.0,3596.0,0.0,34739.0,749.0,101726,5.7,0.06,0.0,0.0,0.01,0.08,월세,64.90020066518846,5475.649667405765,61.33592017738359
부산광역시,사상구,90171.0,1036.9,16555.0,40443.0,2936.0,0.0,28846.0,554.0,90556,7.5,0.08,0.0,0.0,0.02,0.1,월세,53.033377382875614,3917.285945072698,41.00969305331179
대구광역시,동구,139168.0,1680.3,27147.0,62701.0,5666.0,0.0,41593.0,768.0,141632,3.3,0.03,0.0,0.0,0.01,0.05,월세,65.09382040365816,3433.914853358562,55.520820189274446
대구광역시,서구,73980.0,804.3,14289.0,31363.0,3043.0,0.0,24341.0,282.0,74021,7.8,0.08,0.0,0.0,0.02,0.1,월세,72.63213016949153,2152.3728813559323,67.18474576271187
대구광역시,북구,174696.0,2259.2,30293.0,84366.0,6091.0,0.0,51433.0,852.0,179418,4.1,0.05,0.0,0.0,0.01,0.06,월세,63.42856619569057,3022.7499116919817,53.00706464146945
대구광역시,수성구,157906.0,2217.2,29401.0,82071.0,6905.0,0.0,37645.0,500.0,160077,2.0,0.02,0.0,0.0,0.01,0.03,월세,79.95448181512606,4627.204033613445,96.10692669804976
대구광역시,달서구,224644.0,2878.6,39448.0,111080.0,7584.0,0.0,63666.0,705.0,226593,3.4,0.04,0.0,0.0,0.01,0.05,월세,72.09952588147037,2535.04463615904,70.28507126781696
대구광역시,달성군,95751.0,1291.5,18809.0,48953.0,3094.0,0.0,23217.0,574.0,99284,2.7,0.03,0.0,0.0,0.02,0.05,월세,66.83881286587327,3398.302669668704,42.61466709552911
인천광역시,중구,55660.0,621.2,9242.0,21433.0,1765.0,0.0,20943.0,1844.0,59389,2.4,0.02,0.01,0.0,0.03,0.06,월세,62.384395404814,4010.305470459519,63.56936542669584
인천광역시,동구,25183.0,316.7,4903.0,11719.0,1206.0,0.0,6889.0,257.0,25185,6.6,0.07,0.02,0.0,0.02,0.1,월세,55.74732147651007,5784.897091722595,54.7337807606264
인천광역시,연수구,130428.0,1918.0,20668.0,71174.0,5699.0,0.0,29989.0,1669.0,207048,2.7,0.03,0.02,0.0,0.02,0.07,월세,79.25365331222602,5825.37847053093,127.40063321967853
인천광역시,남동구,203704.0,2736.3,34033.0,102233.0,7892.0,0.0,54361.0,3385.0,193657,4.1,0.04,0.02,0.0,0.02,0.08,월세,55.03686455424275,4080.927819548872,49.45327604726101
인천광역시,부평구,194930.0,2487.5,32313.0,99196.0,7993.0,0.0,50915.0,3050.0,113413,3.4,0.04,0.03,0.0,0.01,0.08,월세,61.113976560098365,8632.642483861051,56.37740199846272
인천광역시,계양구,112858.0,1553.8,18137.0,60276.0,4285.0,0.0,27450.0,1585.0,200576,2.6,0.03,0.02,0.0,0.01,0.06,월세,52.82905070967742,2740.1982795698923,57.16989247311828
인천광역시,서구,195663.0,2801.5,32400.0,106065.0,8626.0,0.0,44180.0,2648.0,168650,5.0,0.06,0.02,0.0,0.03,0.11,월세,72.9710637246249,4959.29986760812,82.78393290664313
인천광역시,강화군,27048.0,299.4,8211.0,8898.0,1608.0,0.0,7712.0,378.0,27750,5.4,0.06,0.01,0.0,0.05,0.12,월세,59.37570740740741,1932.7777777777776,53.14814814814815
광주광역시,동구,44954.0,455.7,8863.0,16015.0,1408.0,0.0,17590.0,743.0,47295,5.2,0.06,0.0,0.0,0.03,0.09,월세,67.08642753950339,8696.453724604966,49.2234762979684
광주광역시,서구,122889.0,1506.0,21161.0,56122.0,3547.0,0.0,39811.0,1077.0,124031,2.3,0.02,0.0,0.0,0.01,0.04,월세,63.53006620298815,3673.542503863988,57.00824317362184
광주광역시,북구,178759.0,2177.6,31324.0,81783.0,5299.0,0.0,57003.0,1577.0,180972,2.2,0.02,0.0,0.0,0.02,0.04,월세,59.733542085971344,3609.5471509496833,46.45484838387204
광주광역시,광산구,154385.0,2193.2,22882.0,80540.0,4116.0,0.0,43326.0,1941.0,159167,2.1,0.02,0.0,0.0,0.01,0.03,월세,58.04470048396854,3280.6249243799152,46.39019963702359
대전광역시,동구,100718.0,1078.1,17300.0,39671.0,3191.0,0.0,38474.0,1162.0,102534,8.2,0.1,0.0,0.0,0.01,0.12,월세,63.67107568075118,4066.69765258216,56.20281690140845
