시도,시군구,경도,위도,일반가구수,일반가구_기준미달비율,전체가구_기준미달가구 비율,전체가구_지하거주가구 비율,전체가구_옥상거주가구 비율,전체가구_주택이외거처가구 비율,전체가구_주거빈곤가구 비율
대전광역시,동구,127.4548596,36.31204028,102534,8.2,0.1,0.0,0.0,0.01,0.12
대전광역시,중구,127.421381,36.32582989,97505,3.9,0.04,0.0,0.0,0.02,0.07
대전광역시,서구,127.3834158,36.35707299,203082,3.1,0.04,0.0,0.0,0.01,0.05
대전광역시,유성구,127.3561363,36.36405586,153942,6.0,0.08,0.0,0.0,0.02,0.1
대전광역시,대덕구,127.4170933,36.35218384,73371,3.7,0.04,0.0,0.0,0.01,0.06
울산광역시,중구,129.3328162,35.56971228,86392,2.9,0.03,0.0,0.0,0.01,0.04
울산광역시,남구,129.3301754,35.54404265,130392,2.8,0.03,0.0,0.0,0.01,0.04
울산광역시,북구,129.361245,35.58270783,79141,1.7,0.02,0.0,0.0,0.01,0.03
세종,세종시,127.2494855,36.5040736,138814,2.2,0.02,0.0,0.0,0.01,0.04
경기도,수원시,127.0122222,37.30101111,465600,3.5,0.04,0.02,0.0,0.01,0.07
경기도,성남시,127.1477194,37.44749167,369007,4.4,0.05,0.06,0.01,0.02,0.06
경기도,의정부시,127.0358417,37.73528889,177865,2.8,0.03,0.01,0.0,0.02,0.06
경기도,안양시,126.9533556,37.3897,203083,3.6,0.04,0.04,0.0,0.02,0.09
경기도,부천시,126.766,37.5035917,315228,4.1,0.04,0.02,0.0,0.02,0.09
경기도,광명시,126.8667083,37.47575,111274,2.5,0.03,0.04,0.0,0.01,0.07
경기도,평택시,127.1146556,36.98943889,212746,3.4,0.03,0.01,0.0,0.02,0.06
경기도,동두천시,127.0626528,37.90091667,37854,4.3,0.04,0.0,0.0,0.02,0.07
경기도,안산시,126.8468194,37.29851944,259958,3.3,0.04,0.02,0.0,0.01,0.08
경기도,고양시,126.7770556,37.65590833,398128,2.1,0.02,0.02,0.0,0.02,0.05
경기도,과천시,126.9898,37.42637222,20463,3.6,0.04,0.09,0.0,0.03,0.16
경기도,구리시,127.1318639,37.591625,73130,3.1,0.03,0.03,0.01,0.01,0.08
경기도,남양주시,127.2186333,37.63317778,252383,2.1,0.02,0.0,0.0,0.02,0.05
경기도,오산시,127.0796417,37.14691389,91768,5.0,0.05,0.0,0.0,0.03,0.09
경기도,시흥시,126.8050778,37.37731944,192567,3.0,0.03,0.01,0.0,0.02,0.06
경기도,군포시,126.9375,37.35865833,103026,3.4,0.03,0.02,0.0,0.02,0.07
경기도,의왕시,126.9703889,37.34195,59297,2.5,0.03,0.02,0.0,0.01,0.05
경기도,하남시,127.217,37.53649722,112230,2.2,0.02,0.01,0.0,0.02,0.05
경기도,용인시,127.2038444,37.23147778,386075,2.0,0.02,0.01,0.0,0.02,0.04
경기도,파주시,126.7819528,37.75708333,170503,2.6,0.03,0.0,0.0,0.03,0.06
경기도,이천시,127.4432194,37.27543611,83134,3.8,0.04,0.0,0.0,0.03,0.08
경기도,안성시,127.2818444,37.005175,77137,3.8,0.04,0.0,0.0,0.03,0.07
경기도,화성시,126.8335306,37.19681667,321402,2.1,0.02,0.0,0.0,0.03,0.05
경기도,광주시,127.2577861,37.41450556,142715,2.3,0.02,0.01,0.0,0.03,0.06
경기도,포천시,127.2024194,37.89215556,59317,4.5,0.05,0.0,0.0,0.08,0.13
경기도,여주시,127.6396222,37.29535833,44056,3.7,0.04,0.0,0.0,0.04,0.08
경기도,연천군,127.0770667,38.09336389,17953,6.6,0.07,0.0,0.0,0.05,0.12
경기도,가평군,127.5117778,37.82883056,25551,4.4,0.05,0.0,0.0,0.06,0.11
강원도,춘천시,127.7323111,37.87854167,117773,3.9,0.04,0.0,0.0,0.02,0.06
강원도,원주시,127.9220556,37.33908333,150076,3.1,0.03,0.0,0.0,0.01,0.05
강원도,강릉시,128.8784972,37.74913611,97890,4.9,0.05,0.0,0.0,0.02,0.07
강원도,속초시,128.5941667,38.204275,35491,4.1,0.04,0.0,0.0,0.02,0.06
강원도,양양군,128.6213556,38.07283333,12305,6.3,0.07,0.0,0.0,0.04,0.11
충청북도,충주시,127.9281444,36.98818056,92965,3.4,0.04,0.0,0.0,0.02,0.06
충청북도,제천시,128.1931528,37.12976944,59625,4.4,0.04,0.0,0.0,0.02,0.06
충청북도,청주시,127.5117306,36.58399722,347767,2.5,0.03,0.0,0.0,0.01,0.04
충청북도,옥천군,127.5736333,36.30355,20617,7.2,0.08,0.0,0.0,0.03,0.11
충청남도,천안시,127.1524667,36.804125,275302,2.9,0.03,0.0,0.0,0.02,0.05
충청남도,공주시,127.1211194,36.44361389,46050,6.6,0.07,0.0,0.0,0.03,0.1
충청남도,아산시,127.0046417,36.78710556,127791,3.2,0.03,0.0,0.0,0.03,0.06
충청남도,서산시,126.4521639,36.78209722,72647,3.1,0.03,0.0,0.0,0.02,0.06
충청남도,논산시,127.1009111,36.18420278,49985,6.4,0.07,0.0,0.0,0.03,0.1
충청남도,당진시,126.6302528,36.89075,68979,3.6,0.04,0.0,0.0,0.03,0.06
충청남도,금산군,127.4903083,36.10586944,23182,10.4,0.11,0.0,0.0,0.05,0.16
전라북도,전주시,127.1219194,35.80918889,270339,2.3,0.02,0.0,0.0,0.01,0.04
전라북도,군산시,126.7388444,35.96464167,111617,2.7,0.03,0.0,0.0,0.01,0.04
전라북도,남원시,127.3925,35.41325556,33870,6.5,0.07,0.0,0.0,0.03,0.1
전라북도,임실군,127.2847528,35.60806389,12226,12.0,0.12,0.0,0.0,0.03,0.16
전라북도,순창군,127.1396306,35.37138889,11585,11.0,0.11,0.0,0.0,0.03,0.15
전라북도,부안군,126.7356778,35.72853333,22301,4.4,0.04,0.0,0.0,0.04,0.09
전라남도,여수시,127.6643861,34.75731111,112173,4.4,0.05,0.0,0.0,0.02,0.07
전라남도,순천시,127.4893306,34.94760556,109979,4.0,0.04,0.0,0.0,0.02,0.06
전라남도,광양시,127.6981778,34.93753611,57669,3.2,0.03,0.0,0.0,0.02,0.06
경상북도,경주시,129.2270222,35.85316944,111093,6.4,0.07,0.0,0.0,0.03,0.09
경상북도,김천시,128.1158,36.13689722,59185,6.2,0.06,0.0,0.0,0.02,0.09
경상북도,안동시,128.7316222,36.56546389,70860,9.0,0.09,0.0,0.01,0.02,0.12
경상북도,구미시,128.3467778,36.11655,169399,2.2,0.02,0.0,0.01,0.02,0.04
경상북도,상주시,128.1612639,36.40796944,43627,10.4,0.11,0.0,0.0,0.03,0.14
경상북도,문경시,128.1890194,36.58363056,30505,8.2,0.08,0.0,0.0,0.03,0.12
경상북도,경산시,128.7434639,35.82208889,115969,4.1,0.04,0.0,0.0,0.02,0.06
경상남도,통영시,128.4352778,34.85125833,53668,4.5,0.05,0.0,0.0,0.02,0.07
경상남도,김해시,128.8916667,35.22550556,206938,2.7,0.03,0.0,0.0,0.02,0.05
경상남도,양산시,129.0394111,35.33192778,138429,1.8,0.02,0.0,0.0,0.01,0.03
경상남도,창원시,128.6401544,35.2540033,409276,3.3,0.03,0.0,0.0,0.01,0.05
경상남도,고성군,128.3245417,34.9699,22020,10.8,0.11,0.0,0.0,0.03,0.14
제주,제주시,126.5332083,33.49631111,191088,5.6,0.06,0.0,0.01,0.03,0.1
제주,서귀포시,126.5125556,33.25235,71240,7.1,0.07,0.0,0.0,0.04,0.11
